Business Name,Input Phone,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,SAB?,Match Status
,,2m,,"2m, 245, Main St, Teachers Colony, Chennai, Tamil Nadu 600053, India",Yes,No,Yes,No,
,,1709 Langhorne Newtown Rd #3,,"1709 Langhorne Newtown Rd #3, Langhorne, PA 19047, USA",Yes,Yes,Yes,No,
,,540 Bound Brook Rd Suite 2,,"540 Bound Brook Rd Suite 2, Middlesex, NJ 08846, USA",Yes,Yes,Yes,No,
,,Khajoori Sadak,,"Khajoori Sadak, Madhya Pradesh 462030, India",Yes,Yes,Yes,No,
,,8420 West Chester Pike,,"8420 West Chester Pike, Upper Darby Township, PA 19082, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Hubli - Dharwad Rd,,"Hubli - Dharwad Rd, Karnataka, India",Yes,No,Yes,No,
,,The Chel Centre,,"The Chel Centre, 26 Roundhay Rd, Leeds LS7 1AB, UK",Yes,No,Yes,No,
,,239 Earls Ct Rd,,"239 Earls Ct Rd, London SW5 9AH, UK",Yes,No,Yes,No,
,,"5, Church Rd",,"5, Church Rd, Ayappakkam, Chennai, Tamil Nadu 600077, India",Yes,No,Yes,No,
,,1904 Saskatchewan Ave,,"1904 Saskatchewan Ave, Saskatoon, SK S7K 1R2, Canada",Yes,Yes,Yes,No,
,,,,,,,,N/A,No result found
,,1 Aspen St,,"1 Aspen St, Moonee Ponds VIC 3039, Australia",Yes,Yes,Yes,No,
,,Chennai,,"Chennai, Tamil Nadu, India",Yes,Yes,Yes,No,
